2026-06-12 17:24:33.446 +03:00 [INF] AssettoServer 0.0.55-pre35
2026-06-12 17:24:33.468 +03:00 [DBG] Server was started through Content Manager
2026-06-12 17:24:33.473 +03:00 [DBG] Loading server_cfg.ini from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\server_cfg.ini
2026-06-12 17:24:33.489 +03:00 [DBG] Loading entry_list.ini from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\entry_list.ini
2026-06-12 17:24:33.704 +03:00 [DBG] Loading extra_cfg.yml from C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\server\presets\Shutoko Tatsumi PA\extra_cfg.yml
2026-06-12 18:06:56.816 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:06:58.820 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:00.818 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:02.821 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:04.819 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:06.821 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:09.124 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:11.125 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:13.126 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:15.133 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:17.129 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:17.689 +03:00 [INF] Collision between corp14x3 (30) and Traffic 2 (2), rel. speed 18km/h
2026-06-12 18:07:20.751 +03:00 [INF] Collision between corp14x3 (30) and Traffic 10 (10), rel. speed 4km/h
2026-06-12 18:07:20.940 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 2km/h
2026-06-12 18:07:25.393 +03:00 [INF] Collision between corp14x3 (30) and Traffic 1 (1), rel. speed 10km/h
2026-06-12 18:07:25.558 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 3km/h
2026-06-12 18:07:27.560 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:29.561 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:31.569 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:32.426 +03:00 [INF] Collision between corp14x3 (30) and Traffic 5 (5), rel. speed 20km/h
2026-06-12 18:07:37.043 +03:00 [INF] Collision between corp14x3 (30) and Traffic 14 (14), rel. speed 5km/h
2026-06-12 18:07:37.240 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 3km/h
2026-06-12 18:07:47.449 +03:00 [INF] Collision between corp14x3 (30) and Traffic 18 (18), rel. speed 23km/h
2026-06-12 18:07:47.722 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 2km/h
2026-06-12 18:07:49.966 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:51.967 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:53.969 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:55.970 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:57.973 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:07:59.974 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-12 18:08:01.825 +03:00 [INF] Collision between corp14x3 (30) and Traffic 0 (0), rel. speed 17km/h
2026-06-12 18:08:02.142 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-12 18:08:16.220 +03:00 [INF] Collision between corp14x3 (30) and Traffic 15 (15), rel. speed 17km/h
2026-06-12 18:08:16.445 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 3km/h
2026-06-12 18:08:21.998 +03:00 [INF] Collision between corp14x3 (30) and Traffic 22 (22), rel. speed 18km/h
2026-06-12 18:08:22.150 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 3km/h
2026-06-12 18:08:33.116 +03:00 [INF] Collision between corp14x3 (30) and Traffic 25 (25), rel. speed 27km/h
2026-06-12 18:08:33.268 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 8km/h
2026-06-12 18:08:34.359 +03:00 [INF] Collision between corp14x3 (30) and Traffic 17 (17), rel. speed 28km/h
2026-06-12 18:08:34.772 +03:00 [INF] Collision between corp14x3 (30) and Traffic 13 (13), rel. speed 29km/h
2026-06-12 18:08:35.776 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 11km/h
2026-06-12 18:08:36.361 +03:00 [INF] Collision between corp14x3 (30) and Traffic 17 (17), rel. speed 11km/h
2026-06-12 18:08:38.360 +03:00 [INF] Collision between corp14x3 (30) and Traffic 17 (17), rel. speed 6km/h
2026-06-12 18:08:38.726 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-12 18:08:40.360 +03:00 [INF] Collision between corp14x3 (30) and Traffic 17 (17), rel. speed 15km/h
