2024-10-03 02:22:19.817 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 6 (6), rel. speed 30km/h
2024-10-03 02:22:24.818 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 6 (6), rel. speed 27km/h
2024-10-03 02:22:24.818 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 18 (18), rel. speed 38km/h
2024-10-03 02:22:24.818 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 113km/h
2024-10-03 02:22:29.819 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 31km/h
2024-10-03 02:22:44.822 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 3 (3), rel. speed 55km/h
2024-10-03 02:22:53.745 +03:00 [DBG] Car 11 reached spline end, despawning
2024-10-03 02:22:59.825 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 20 (20), rel. speed 130km/h
2024-10-03 02:23:09.827 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 4 (4), rel. speed 105km/h
2024-10-03 02:23:09.827 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 126km/h
2024-10-03 02:23:34.832 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 1 (1), rel. speed 222km/h
2024-10-03 02:23:34.832 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 146km/h
2024-10-03 02:23:43.156 +03:00 [DBG] Car 1 reached spline end, despawning
2024-10-03 02:23:45.896 +03:00 [DBG] Car 18 reached spline end, despawning
2024-10-03 02:23:53.658 +03:00 [DBG] Car 2 reached spline end, despawning
2024-10-03 02:24:44.846 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 303km/h
2024-10-03 02:24:49.847 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 39km/h
2024-10-03 02:24:49.847 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 11 (11), rel. speed 34km/h
2024-10-03 02:24:54.848 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 11 (11), rel. speed 9km/h
2024-10-03 02:24:59.849 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 11 (11), rel. speed 13km/h
2024-10-03 02:24:59.849 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 8km/h
2024-10-03 02:25:33.523 +03:00 [DBG] Car 22 reached spline end, despawning
2024-10-03 02:25:35.813 +03:00 [DBG] Car 22 reached spline end, despawning
2024-10-03 02:27:19.877 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 5 (5), rel. speed 193km/h
2024-10-03 02:27:24.878 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 100km/h
2024-10-03 02:27:24.878 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 3 (3), rel. speed 48km/h
2024-10-03 02:27:29.879 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 9 (9), rel. speed 5km/h
2024-10-03 02:27:50.866 +03:00 [DBG] Car 15 reached spline end, despawning
2024-10-03 02:27:56.989 +03:00 [DBG] Car 11 reached spline end, despawning
2024-10-03 02:27:57.957 +03:00 [DBG] Car 1 reached spline end, despawning
2024-10-03 02:27:59.316 +03:00 [DBG] Car 15 reached spline end, despawning
2024-10-03 02:28:21.259 +03:00 [DBG] Car 12 reached spline end, despawning
2024-10-03 02:28:29.891 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 17 (17), rel. speed 178km/h
2024-10-03 02:28:29.891 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 21km/h
2024-10-03 02:28:39.896 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 9 (9), rel. speed 157km/h
2024-10-03 02:28:39.896 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 74km/h
2024-10-03 02:28:44.894 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 12 (12), rel. speed 21km/h
2024-10-03 02:28:44.894 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 3 (3), rel. speed 41km/h
2024-10-03 02:28:44.894 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 15 (15), rel. speed 25km/h
2024-10-03 02:28:44.894 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 18 (18), rel. speed 37km/h
2024-10-03 02:28:44.894 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 11 (11), rel. speed 48km/h
2024-10-03 02:28:49.895 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 18 (18), rel. speed 23km/h
2024-10-03 02:29:14.900 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 225km/h
2024-10-03 02:29:34.904 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 15 (15), rel. speed 10km/h
2024-10-03 02:30:29.915 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 7 (7), rel. speed 165km/h
2024-10-03 02:30:29.915 +03:00 [INF] Collision between Han Raikkonen (23) and environment, rel. speed 190km/h
2024-10-03 02:30:34.916 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 20 (20), rel. speed 56km/h
2024-10-03 02:31:04.922 +03:00 [INF] Collision between Han Raikkonen (23) and Traffic 0 (0), rel. speed 6km/h
