2026-06-27 21:46:14.135 +03:00 [DBG] Car 14 reached spline end, despawning
2026-06-27 21:46:17.860 +03:00 [DBG] Car 20 reached spline end, despawning
2026-06-27 21:46:19.267 +03:00 [DBG] Car 24 reached spline end, despawning
2026-06-27 21:46:19.564 +03:00 [DBG] Car 21 reached spline end, despawning
2026-06-27 21:46:23.484 +03:00 [DBG] Car 26 reached spline end, despawning
2026-06-27 21:46:24.461 +03:00 [DBG] Car 27 reached spline end, despawning
2026-06-27 21:46:26.476 +03:00 [DBG] Car 1 reached spline end, despawning
2026-06-27 21:46:29.401 +03:00 [DBG] Car 3 reached spline end, despawning
2026-06-27 21:46:30.982 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-27 21:46:32.503 +03:00 [DBG] Car 23 reached spline end, despawning
2026-06-27 21:46:41.278 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 79km/h
2026-06-27 21:46:42.343 +03:00 [INF] Collision between corp14x3 (32) and Traffic 15 (15), rel. speed 23km/h
2026-06-27 21:46:49.608 +03:00 [DBG] Car 24 reached spline end, despawning
2026-06-27 21:46:52.681 +03:00 [DBG] Car 7 reached spline end, despawning
2026-06-27 21:46:55.443 +03:00 [DBG] Car 11 reached spline end, despawning
2026-06-27 21:46:57.495 +03:00 [DBG] Car 24 reached spline end, despawning
2026-06-27 21:46:58.613 +03:00 [DBG] Car 19 reached spline end, despawning
2026-06-27 21:47:01.641 +03:00 [DBG] Car 7 reached spline end, despawning
2026-06-27 21:47:02.933 +03:00 [DBG] Car 7 reached spline end, despawning
2026-06-27 21:47:06.580 +03:00 [DBG] Car 22 reached spline end, despawning
2026-06-27 21:47:08.485 +03:00 [DBG] Car 4 reached spline end, despawning
2026-06-27 21:47:10.053 +03:00 [DBG] Car 8 reached spline end, despawning
2026-06-27 21:47:12.132 +03:00 [DBG] Car 26 reached spline end, despawning
2026-06-27 21:47:14.071 +03:00 [DBG] Car 21 reached spline end, despawning
2026-06-27 21:47:20.251 +03:00 [DBG] Car 17 reached spline end, despawning
2026-06-27 21:48:17.941 +03:00 [INF] Collision between corp14x3 (32) and Traffic 28 (28), rel. speed 51km/h
2026-06-27 21:48:18.133 +03:00 [INF] Collision between corp14x3 (32) and Traffic 4 (4), rel. speed 18km/h
2026-06-27 21:48:18.759 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 60km/h
2026-06-27 21:49:49.200 +03:00 [INF] Collision between corp14x3 (32) and Traffic 6 (6), rel. speed 81km/h
2026-06-27 21:49:49.303 +03:00 [INF] Collision between corp14x3 (32) and Traffic 8 (8), rel. speed 19km/h
2026-06-27 21:49:53.347 +03:00 [INF] Collision between corp14x3 (32) and Traffic 18 (18), rel. speed 13km/h
2026-06-27 21:49:57.007 +03:00 [INF] Collision between corp14x3 (32) and Traffic 28 (28), rel. speed 164km/h
2026-06-27 21:49:57.224 +03:00 [INF] Collision between corp14x3 (32) and Traffic 22 (22), rel. speed 22km/h
2026-06-27 21:50:01.284 +03:00 [INF] Collision between corp14x3 (32) and Traffic 27 (27), rel. speed 40km/h
2026-06-27 21:50:06.871 +03:00 [INF] Collision between corp14x3 (32) and Traffic 19 (19), rel. speed 47km/h
2026-06-27 21:50:24.253 +03:00 [INF] Collision between corp14x3 (32) and Traffic 8 (8), rel. speed 82km/h
2026-06-27 21:50:24.933 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 87km/h
2026-06-27 21:50:25.506 +03:00 [INF] Collision between corp14x3 (32) and Traffic 1 (1), rel. speed 9km/h
2026-06-27 21:50:54.208 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 86km/h
2026-06-27 21:50:56.917 +03:00 [INF] Collision between corp14x3 (32) and Traffic 6 (6), rel. speed 28km/h
2026-06-27 21:51:29.503 +03:00 [INF] Collision between corp14x3 (32) and Traffic 0 (0), rel. speed 172km/h
2026-06-27 21:51:46.183 +03:00 [INF] Collision between corp14x3 (32) and Traffic 22 (22), rel. speed 189km/h
2026-06-27 21:51:46.798 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 32km/h
2026-06-27 21:52:09.917 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 33km/h
2026-06-27 21:52:45.799 +03:00 [INF] Collision between corp14x3 (32) and Traffic 13 (13), rel. speed 12km/h
2026-06-27 21:53:06.769 +03:00 [INF] Collision between corp14x3 (32) and Traffic 22 (22), rel. speed 6km/h
2026-06-27 21:54:01.161 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 225km/h
2026-06-27 21:54:07.138 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 11km/h
2026-06-27 21:54:14.830 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 36km/h
2026-06-27 21:54:37.749 +03:00 [INF] Collision between corp14x3 (32) and environment, rel. speed 14km/h
2026-06-27 21:54:39.943 +03:00 [DBG] Received clean exit from corp14x3 (32)
2026-06-27 21:54:39.944 +03:00 [DBG] Disconnecting corp14x3 (76561199521796457 - 192.168.1.0:51440)
2026-06-27 21:54:39.945 +03:00 [INF] corp14x3 has disconnected
2026-06-27 21:54:57.348 +03:00 [DBG] Car 1 reached spline end, despawning
2026-06-27 21:55:02.984 +03:00 [DBG] Car 4 reached spline end, despawning
