2026-06-07 04:09:16.224 +03:00 [INF] Collision between corp14x3 (30) and Traffic 8 (8), rel. speed 21km/h
2026-06-07 04:09:16.273 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 2km/h
2026-06-07 04:09:31.248 +03:00 [INF] Collision between corp14x3 (30) and Traffic 20 (20), rel. speed 14km/h
2026-06-07 04:09:31.292 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 2km/h
2026-06-07 04:09:34.333 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-07 04:09:37.328 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:09:40.394 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:09:42.590 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:09:44.592 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:09:46.207 +03:00 [INF] Collision between corp14x3 (30) and Traffic 9 (9), rel. speed 17km/h
2026-06-07 04:09:46.593 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:04.253 +03:00 [INF] Collision between corp14x3 (30) and Traffic 24 (24), rel. speed 24km/h
2026-06-07 04:10:04.310 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 3km/h
2026-06-07 04:10:06.312 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:08.313 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:08.880 +03:00 [INF] Collision between corp14x3 (30) and Traffic 27 (27), rel. speed 52km/h
2026-06-07 04:10:10.314 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:10.913 +03:00 [INF] Collision between corp14x3 (30) and Traffic 18 (18), rel. speed 47km/h
2026-06-07 04:10:12.315 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:13.026 +03:00 [INF] Collision between corp14x3 (30) and Traffic 28 (28), rel. speed 50km/h
2026-06-07 04:10:14.829 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 2km/h
2026-06-07 04:10:17.050 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-07 04:10:19.166 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-07 04:10:21.297 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:23.298 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:25.300 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:27.299 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 0km/h
2026-06-07 04:10:30.776 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 1km/h
2026-06-07 04:10:33.638 +03:00 [INF] Collision between corp14x3 (30) and environment, rel. speed 2km/h
2026-06-07 04:13:01.490 +03:00 [DBG] Car 2 reached spline end, despawning
2026-06-07 04:13:04.917 +03:00 [DBG] Car 1 reached spline end, despawning
